iter	Passed	Remaining
0	22	22866
1	39	19613
2	55	18448
3	71	17865
4	88	17520
5	103	17082
6	119	16936
7	135	16813
8	152	16744
9	169	16768
10	186	16798
11	204	16806
12	221	16781
13	237	16738
14	254	16691
15	271	16672
16	288	16660
17	305	16648
18	324	16763
19	341	16723
20	358	16699
21	375	16672
22	391	16641
23	408	16625
24	426	16648
25	443	16604
26	458	16533
27	475	16492
28	492	16476
29	507	16423
30	524	16396
31	540	16359
32	556	16321
33	572	16253
34	587	16209
35	604	16180
36	620	16139
37	636	16120
38	651	16063
39	667	16020
40	683	15984
41	699	15965
42	715	15922
43	731	15901
44	749	15898
45	766	15902
46	784	15907
47	801	15895
48	819	15895
49	834	15859
50	850	15834
51	868	15829
52	883	15787
53	899	15754
54	914	15715
55	930	15684
56	947	15668
57	963	15653
58	978	15614
59	994	15581
60	1010	15554
61	1027	15541
62	1045	15543
63	1060	15503
64	1075	15472
65	1090	15432
66	1106	15405
67	1122	15378
68	1136	15333
69	1152	15310
70	1168	15284
71	1183	15255
72	1199	15229
73	1216	15217
74	1234	15223
75	1249	15196
76	1265	15169
77	1281	15151
78	1298	15134
79	1313	15102
80	1330	15094
81	1345	15067
82	1361	15039
83	1377	15018
84	1392	14993
85	1408	14971
86	1424	14949
87	1440	14932
88	1456	14912
89	1473	14901
90	1488	14872
91	1505	14855
92	1520	14830
93	1536	14813
94	1554	14804
95	1570	14791
96	1586	14767
97	1602	14746
98	1619	14734
99	1635	14716
100	1651	14704
101	1668	14689
102	1685	14682
103	1702	14667
104	1718	14645
105	1733	14619
106	1749	14599
107	1765	14581
108	1780	14556
109	1795	14530
110	1812	14516
111	1828	14499
112	1843	14470
113	1859	14449
114	1875	14433
115	1891	14417
116	1908	14403
117	1925	14389
118	1943	14388
119	1960	14380
120	1977	14362
121	1992	14341
122	2009	14328
123	2026	14313
124	2043	14303
125	2059	14286
126	2074	14262
127	2092	14253
128	2108	14237
129	2124	14217
130	2139	14194
131	2155	14173
132	2170	14148
133	2185	14127
134	2201	14104
135	2216	14078
136	2232	14061
137	2248	14046
138	2263	14021
139	2279	14001
140	2295	13985
141	2311	13969
142	2330	13966
143	2347	13955
144	2362	13930
145	2379	13916
146	2394	13894
147	2411	13883
148	2427	13864
149	2443	13844
150	2457	13819
151	2474	13807
152	2492	13797
153	2508	13783
154	2525	13766
155	2540	13745
156	2557	13732
157	2572	13710
158	2590	13700
159	2607	13690
160	2624	13675
161	2640	13659
162	2658	13649
163	2674	13633
164	2690	13614
